kulut_muut,kunta,kulut_muut_viestintavalineet,kulut_vaalitilaisuudet,muu_tuki,lainat,etunimi,omat_varat,kulut_radio,kulut_kaikki,yritys_tuki,puolue_lyh,kulut_tietoverkot,rahoitus_kaikki,kulut_televisio,valitetty_tuki,kulut_painettu_mat,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,kulut_tuen_hankintakulut,kulut_mainonnan_suunnittelu,kulut_ulkomainonta,kulut_lehdet,ammatti,yksityinen_tuki,puolue_tuki
0,Pohjois-Savon vaalipiiri,0,0,0,0,Urpo Jaakko,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Kekoni,0,0,0,0,"filosofian maisteri, hallitusammattilainen",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Markku Yrjö,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Eestilä,0,0,0,0,"eläinlääketieteen lisensiaatti, eläinlääkäri",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Jyrki Tapani,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Haapala,0,0,0,0,komisario,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Janne Ensti Ilmari,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Peltola,0,0,0,0,kiinteistö- ja metsäalan yrittäjä,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Erkki Tapio,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Kukkonen,0,0,0,0,"rehtori, eläkkeellä",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Ossi Paavo Pellervo,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Martikainen,0,0,0,0,"Euroopan parlamentin jäsenen avustaja, maanviljelijä",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Seppo Arimo,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Kääriäinen,0,0,0,0,"eduskunnan varapuhemies, valtiotieteiden tohtori",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Markku Kalevi,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Rossi,0,0,0,0,kansanedustaja,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Minna Anna Tuulikki,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Lilja,0,0,0,0,"rehtori, maatilan emäntä",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Jukka Antero,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Peiponen,0,0,0,0,"yrittäjä, Suomen Autokoululiiton pj",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Leila Vilhelmiina,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Savolainen,0,0,0,0,terveydenhoitaja,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Kaisa Leena,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Hiltunen,0,0,0,0,"terveystieteiden kandidaatti, terveydenhoitaja",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Juha-Pekka Aleksanteri,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Rusanen,0,0,0,0,"yht.yo, opiskelija",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Elsi Kaarina,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Katainen,0,0,0,0,kansanedustaja,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Jarmo Tapani,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Nykänen,0,0,0,0,"maanviljelijä, agrologi",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Heli Terttu Marjaana,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Pitkänen,0,0,0,0,"yrittäjä, maatalous- ja metsätieteiden maisteri",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Anna Maija,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Olkkonen,0,0,0,0,"terveydenhuollon lisensiaatti, koulutussuunnittelija",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Aino Anneli,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Kanniainen,0,0,0,0,"sairaanhoitaja, psykoterapeutti",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Ilkka Ilmari,0,0,0,0,KD,0,0,0,0,0,0,Suomen Kristillisdemokraatit (KD),Pohjois-Savon vaalipiiri,Roininen,0,0,0,0,maaseutuyrittäjä,0,0
